name_ko,name_en,description,mythology,difficulty,image_url,abbreviation
돛자리,Vela,"남반구 은하수 속에 위치한 별자리로, 과거 거대한 아르고(Argo)자리의 일부였습니다.","그리스 신화의 영웅 이아손과 아르고나우타이들이 황금 양털을 찾아 타고 떠났던 거대한 아르고호 선박의 돛을 상징합니다. 용골, 고물자리와 함께 대항해의 이야기를 공유합니다.",4,/img/constellation/1.png,Vel
파리자리,Musca,"남십자자리 바로 남쪽에 위치한 작고 뚜렷한 남반구의 별자리입니다.","16세기 말 네덜란드의 항해사들이 남반구 하늘을 관측하며 고안한 현대 별자리로, 특별한 고대 신화는 존재하지 않습니다.",관측불가,/img/constellation/2.png,Mus
두루미자리,Grus,"남반구 하늘에서 긴 목을 뻗은 두루미의 형태를 띠고 있는 비교적 밝고 눈에 띄는 별자리입니다.","16세기 네덜란드 탐험가들이 명명한 별자리 중 하나로, 관련된 그리스 로마 신화는 존재하지 않습니다.",4,/img/constellation/3.png,Gru
작은개자리,Canis Minor,"겨울철 대삼각형의 한 꼭짓점을 이루는 1등성 '프로키온'을 품고 있는 작지만 밝은 별자리입니다.","오리온의 죽음을 슬퍼하다 죽은 충성스러운 사냥개 '마이라'와 연결되며, 오리온이 데리고 다니던 두 마리의 사냥개 중 작은 개로 여겨집니다.",2,/img/constellation/4.png,CMi
게자리,Cancer,"황도 12궁 중 하나로, 맑은 날 밤하늘에서 중심에 있는 아름다운 산개성단인 프레세페 성단을 볼 수 있습니다.","헤라클레스가 괴물 물뱀 히드라와 싸울 때 헤라 여신이 보낸 거대한 게 카르키노스입니다. 발에 밟혀 죽었지만 그 충성을 인정받아 별자리가 되었습니다.",3,/img/constellation/5.png,Cnc
사자자리,Leo,"황도 12궁 중 하나로, 봄철 밤하늘을 대표하며 거대한 낫 모양의 머리와 밝은 별 레굴루스가 돋보입니다.","헤라클레스의 12과업 중 첫 번째 임무에 등장한 네메아의 골칫거리 사자입니다. 어떤 무기도 통하지 않아 헤라클레스가 맨손으로 목을 졸라 쓰러뜨린 후 별자리가 되었습니다.",1,/img/constellation/6.png,Leo
작은사자자리,Leo Minor,"큰곰자리와 사자자리 사이에 위치한 작고 희미한 별자리로 눈에 띄는 밝은 별이 적습니다.","17세기 폴란드의 천문학자 요하네스 헤벨리우스가 빈 공간을 채우기 위해 고안한 별자리로 관련된 신화는 없습니다.",3,/img/constellation/7.png,LMi
작은곰자리,Ursa Minor,"현재 북극성(폴라리스)을 포함하고 있어 북반구 하늘에서 방향을 찾는 데 매우 중요한 별자리입니다.","요정 칼리스토의 아들 아르카스가 곰으로 변해버린 어머니를 몰라보고 활을 쏘려 하자 제우스가 둘 다 하늘로 올려 작은곰이 되었습니다. 다른 전승에서는 아기 제우스를 돌본 님프 키노수라로도 해석됩니다.",2,/img/constellation/8.png,UMi
거문고자리,Lyra,"여름철 대삼각형의 꼭짓점인 눈부시게 밝은 청백색 별 '베가(직녀성)'를 포함하는 별자리입니다.","어떤 생명도 감동시킨 그리스 신화 최고의 음악가 오르페우스의 리라(수금)입니다. 죽은 아내를 되찾으려 저승에 갔지만 약속을 어겨 다시 잃었고, 사후 제우스가 음악을 기리기 위해 하늘에 올렸습니다.",1,/img/constellation/9.png,Lyr
황새치자리,Dorado,"남반구 하늘의 별자리로, 우리 은하의 동반 은하인 대마젤란은하(LMC)의 대부분을 품고 있습니다.","16세기 네덜란드 항해사들에 의해 만새기(Mahi-mahi) 또는 황새치를 형상화하여 만들어졌으며 신화는 없습니다.",관측불가,/img/constellation/10.png,Dor
전갈자리,Scorpius,"황도 12궁 중 하나로, S자 모양의 꼬리와 붉게 빛나는 심장 성 안타레스가 매우 매력적인 여름철 별자리입니다.","사냥꾼 오리온의 오만함을 벌하기 위해 가이아(또는 헤라)가 보낸 거대한 거대 독전갈입니다. 하늘에서도 둘이 만나지 않도록 오리온자리와 정반대편에 놓였다고 전해집니다.",1,/img/constellation/11.png,Sco
세페우스자리,Cepheus,"북극 주변에 오각형의 집 모양을 하고 있는 북반구의 별자리로 사계절 내내 볼 수 있습니다.","안드로메다의 아버지이자 에티오피아의 왕인 케페우스를 상징합니다. 나라를 구하기 위해 딸을 바다 괴물에게 바쳐야 했던 비극적인 왕으로 등장합니다.",2,/img/constellation/12.png,Cep
처녀자리,Virgo,"황도 12궁 중 두 번째로 넓은 별자리로, 가장 밝은 별 스피카가 청백색으로 아름답게 빛납니다.","농업과 대지의 여신 데메테르, 혹은 인간 세상에 마지막까지 남아 있던 정의의 여신 아스트라이아로 여겨집니다. 인간들이 타락하자 하늘로 올라가 정의의 저울(천칭자리)을 들고 있다고 전해집니다.",2,/img/constellation/13.png,Vir
큰곰자리,Ursa Major,"북두칠성을 등과 꼬리에 포함하고 있는 북반구의 거대하고 널리 알려진 대표적인 별자리입니다.","제우스의 사랑을 받은 님프 칼리스토가 헤라의 질투로 곰이 된 모습입니다. 훗날 아들 아르카스에게 사냥당할 위기에 놓이자 제우스가 두 사람을 모두 하늘의 별자리로 올렸습니다.",1,/img/constellation/14.png,UMa
페르세우스자리,Perseus,"가을과 겨울 하늘에 거꾸로 된 'Y'자 모양으로 보이며 매년 8월 유명한 페르세우스 유성우가 내립니다.","메두사의 목을 베어 돌아오던 중 안드로메다를 발견하고 바다 괴물 케투스를 물리쳐 그녀를 구출해낸 그리스 신화의 위대한 영웅 페르세우스입니다.",2,/img/constellation/15.png,Per
큰개자리,Canis Major,"밤하늘에서 가장 밝은 항성인 '시리우스'를 품고 있어 겨울철 밤하늘에서 가장 눈에 띄는 별자리입니다.","사냥꾼 오리온을 따라다니던 사냥개로, 밤하늘에서 가장 밝은 시리우스가 개의 코끝을 대표합니다. 전승에 따라 절대 사냥감을 놓치지 않는 사냥개 '라일랍스'로도 불립니다.",1,/img/constellation/16.png,CMa
토끼자리,Lepus,"겨울철 오리온자리의 바로 남쪽에 위치해 있으며, 큰개자리에게 쫓기는 듯한 모습을 하고 있습니다.","사냥꾼 오리온과 그의 사냥개들에게 쫓기는 토끼를 나타내며, 하늘에서도 오리온의 발아래에서 큰개자리를 피해 도망치는 모습으로 표현됩니다.",3,/img/constellation/17.png,Lep
비둘기자리,Columba,"큰개자리와 조각칼자리 사이에 위치한 남반구 하늘의 작고 희미한 별자리입니다.","성경에 등장하는 노아의 방주에서 홍수가 끝났음을 알리기 위해 올리브 가지를 물고 돌아온 비둘기를 상징합니다.",4,/img/constellation/18.png,Col
물병자리,Aquarius,"황도 12궁 중 하나로 뚜렷하게 밝은 별은 없으나, 고대부터 물을 따르는 소년의 모습으로 널리 알려져 있습니다.","제우스가 독수리를 보내 데려온 트로이의 아름다운 왕자 가니메데스로 해석됩니다. 그는 올림포스 산에서 신들에게 넥타르(신주)를 따르는 시종이 되었습니다.",3,/img/constellation/19.png,Aqr
염소자리,Capricornus,"황도 12궁 중 하나로, 역삼각형 모양을 하고 있으며 가을철 남쪽 하늘에서 볼 수 있는 별자리입니다.","괴물 티폰을 피해 도망치던 목신의 신 판이 나일강에 뛰어들며 다급한 나머지 상반신은 염소, 하반신은 물고기로 변한 모습입니다. 아기 제우스를 길러준 염소 아말테이아와도 연결됩니다.",3,/img/constellation/20.png,Cap
쌍둥이자리,Gemini,"황도 12궁 중 하나로, 밝은 두 별 카스토르와 폴룩스가 형제의 머리 위치에서 나란히 빛납니다.","백조로 변신한 제우스와 스파르타의 왕비 레다 사이에서 태어난 쌍둥이 형제 카스토르와 폴룩스를 상징합니다. 인간인 카스토르가 죽자 불멸의 폴룩스가 생명을 나누기를 청해 함께 별자리가 되었습니다.",1,/img/constellation/21.png,Gem
화가자리,Pictor,"남반구 하늘의 매우 희미한 별자리로, 원래 이름은 '화가의 이젤(Equuleus Pictoris)'이었습니다.","18세기 프랑스 천문학자 라카유가 남반구 하늘을 관측하며 추가한 별자리로, 화가들이 사용하는 이젤과 팔레트를 본떴습니다.",관측불가,/img/constellation/22.png,Pic
고물자리,Puppis,"아르고자리가 분할된 세 별자리 중 가장 크며, 은하수를 끼고 있어 다양한 산개성단을 포함합니다.","그리스 신화의 영웅들이 황금 양털을 찾아 항해했던 거대한 배 아르고호의 고물(선미)을 상징합니다. 원래 거대한 아르고자리였으나 용골, 돛자리 등과 함께 분리되었습니다.",4,/img/constellation/23.png,Pup
테이블산자리,Mensa,"하늘의 남극 근처에 위치하며, 대마젤란은하의 일부가 걸쳐 있는 밤하늘에서 가장 어두운 별자리 중 하나입니다.","라카유가 남아프리카 케이프타운에서 관측하던 시절, 자주 구름에 덮여 있던 지역의 명산 '테이블 마운틴'을 기려 만들었습니다.",관측불가,/img/constellation/24.png,Men
그물자리,Reticulum,"남반구 하늘의 작은 별자리로, 마름모꼴 모양을 이루며 쌍성 계열의 별들이 많습니다.","천문학자 라카유가 천체망원경의 접안렌즈에 사용하던 십자선(그물눈) 망선을 기념하여 만든 기구 별자리입니다.",관측불가,/img/constellation/25.png,Ret
